"","X.x","one","participant","three","_","tier_num","tier_name","tier_type","tier_xmin","tier_xmax","xmin","xmax","text","annotation_num","word","rate","gender","X.y","count","count_per_mil","log_freq","duration","length"
"1",74,"arm","00610","00072700102","TextGrid",1,"ORT-MAU","IntervalTier",0,5.632,1.916,2.436,"opciones",5,"opciones",8.34517045454546,"m",64331,1354,32.54807692,3.131939295,0.52,8
"2",130,"arm","00610","00073376588","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,0.896,1.266,"viaje",3,"viaje",8.12751964922381,"m",92909,5885,141.4663462,3.769820258,0.37,5
"3",160,"arm","00610","00073376588","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,2.266,2.646,"largo",9,"largo",8.12751964922381,"m",54926,4558,109.5673077,3.658869592,0.38,5
"4",186,"arm","00610","00073376588","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,3.386,3.806,"barco",14,"barco",8.12751964922381,"m",12348,3535,84.97596154,3.548512256,0.42,5
"5",448,"arm","00610","00099003036","TextGrid",1,"ORT-MAU","IntervalTier",0,6.997333,0.896,1.306,"tejas",4,"tejas",7.14557960868805,"m",87760,71,1.706730769,1.857332496,0.41,5
"6",514,"arm","00610","00099003036","TextGrid",1,"ORT-MAU","IntervalTier",0,6.997333,4.236,4.656,"Texas",17,"texas",7.14557960868805,"m",88532,1337,32.13942308,3.126456113,0.42,5
"7",601,"arm","00610","00118386283","TextGrid",1,"ORT-MAU","IntervalTier",0,4.096,0.906,1.436,"España",5,"españa",8.30078125,"m",39021,716,17.21153846,2.855519156,0.53,6
"8",625,"arm","00610","00118386283","TextGrid",1,"ORT-MAU","IntervalTier",0,4.096,2.176,2.456,"días",9,"días",8.30078125,"m",31027,22020,529.3269231,4.342837037,0.28,4
"9",690,"arm","00610","00122244953","TextGrid",1,"ORT-MAU","IntervalTier",0,5.290667,2.846,3.366,"calorías",11,"calorías",8.50554381895515,"m",15104,159,3.822115385,2.204119983,0.52,8
"10",877,"arm","00610","00131121944","TextGrid",1,"ORT-MAU","IntervalTier",0,5.034667,2.956,3.376,"Plaza",11,"plaza",7.34904612360659,"m",69251,633,15.21634615,2.802089258,0.42,5
"11",890,"arm","00610","00135590686","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,0.636,0.876,"Quiero",2,"quiero",8.94886427193638,"m",73716,82097,1973.485577,4.914332577,0.24,6
"12",926,"arm","00610","00135590686","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,1.866,2.316,"asiento",8,"asiento",8.94886427193638,"m",9730,2512,60.38461538,3.400192489,0.45,7
"13",1030,"arm","00610","00267700622","TextGrid",1,"ORT-MAU","IntervalTier",0,4.522667,0.696,0.946,"Quiero",2,"quiero",8.8443389707887,"m",73716,82097,1973.485577,4.914332577,0.25,6
"14",1180,"arm","00610","00282879796","TextGrid",1,"ORT-MAU","IntervalTier",0,6.4,2.781,3.106,"lluvia",9,"lluvia",7.96875,"m",56663,1377,33.10096154,3.139249218,0.325,6
"15",1202,"arm","00610","00282879796","TextGrid",1,"ORT-MAU","IntervalTier",0,6.4,3.706,4.036,"ayer",12,"ayer",7.96875,"m",11701,5216,125.3846154,3.717420837,0.33,4
"16",1324,"arm","00610","00339440734","TextGrid",1,"ORT-MAU","IntervalTier",0,5.973333,2.756,3.166,"abierto",13,"abierto",8.70535762864719,"m",168,1881,45.21634615,3.274619619,0.41,7
"17",1421,"arm","00610","00340277597","TextGrid",1,"ORT-MAU","IntervalTier",0,6.741333,3.746,4.186,"buscar",13,"buscar",8.15862382113449,"m",14330,7045,169.3509615,3.847942639,0.44,6
"18",1485,"arm","00610","00391136851","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,1.776,2.046,"peso",5,"peso",7.88352328718205,"m",68273,1852,44.51923077,3.267875419,0.27,4
"19",1495,"arm","00610","00391136851","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,2.116,2.546,"encima",7,"encima",7.88352328718205,"m",35460,5314,127.7403846,3.725503269,0.43,6
"20",1708,"arm","00610","00408493247","TextGrid",1,"ORT-MAU","IntervalTier",0,6.229333,2.786,3.016,"quiero",11,"quiero",10.7555656440264,"m",73716,82097,1973.485577,4.914332577,0.23,6
"21",2109,"arm","00610","00502643606","TextGrid",1,"ORT-MAU","IntervalTier",0,4.437333,0.786,1.096,"saber",3,"saber",7.88762078482728,"m",81519,20853,501.2740385,4.319189369,0.31,5
"22",2172,"arm","00610","00506285648","TextGrid",1,"ORT-MAU","IntervalTier",0,3.242667,1.516,1.866,"foto",5,"foto",5.24259814529213,"m",44216,4910,118.0288462,3.691169934,0.35,4
"23",2253,"arm","00610","00514146452","TextGrid",1,"ORT-MAU","IntervalTier",0,3.84,1.576,2.026,"película",6,"película",8.07291666666667,"m",67005,6385,153.4855769,3.805228914,0.45,8
"24",2493,"arm","00610","00516799000","TextGrid",1,"ORT-MAU","IntervalTier",0,3.925333,1.366,1.646,"días",3,"días",7.38790823606558,"m",31027,22020,529.3269231,4.342837037,0.28,4
"25",2530,"arm","00610","00538298644","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,0.666,0.976,"Ayer",2,"ayer",7.3002053855152,"m",11701,5216,125.3846154,3.717420837,0.31,4
"26",2581,"arm","00610","00538298644","TextGrid",1,"ORT-MAU","IntervalTier",0,5.205333,2.706,3.166,"reunión",13,"reunión",7.3002053855152,"m",80161,4311,103.6298077,3.634678752,0.46,7
"27",2607,"arm","00610","00574426756","TextGrid",1,"ORT-MAU","IntervalTier",0,6.485333,1.246,1.576,"decir",4,"decir",9.86842155984897,"m",25707,43681,1050.024038,4.640302515,0.33,5
"28",2866,"arm","00610","00629655854","TextGrid",1,"ORT-MAU","IntervalTier",0,5.461333,2.586,3.076,"trabajar",9,"trabajar",10.9863287955523,"m",89588,9857,236.9471154,3.993788814,0.49,8
"29",2924,"arm","00610","00631798630","TextGrid",1,"ORT-MAU","IntervalTier",0,6.570667,1.066,1.436,"viajar",4,"viajar",10.3490254490145,"m",92891,1136,27.30769231,3.055760465,0.37,6
"30",3039,"arm","00610","00635325243","TextGrid",1,"ORT-MAU","IntervalTier",0,6.656,1.816,2.266,"pozo",5,"pozo",6.61057692307692,"m",70137,682,16.39423077,2.834420704,0.45,4
"31",3118,"arm","00610","00645568864","TextGrid",1,"ORT-MAU","IntervalTier",0,4.693333,2.076,2.406,"sobre",8,"sobre",11.7187508322976,"m",84415,46931,1128.149038,4.671469062,0.33,5
"32",3168,"arm","00610","00690163808","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,0.426,0.686,"Quiero",2,"quiero",8.02951388888889,"m",73716,82097,1973.485577,4.914332577,0.26,6
"33",3186,"arm","00610","00690163808","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,1.166,1.496,"tipo",5,"tipo",8.02951388888889,"m",88724,29901,718.7740385,4.475700237,0.33,4
"34",3192,"arm","00610","00690163808","TextGrid",1,"ORT-MAU","IntervalTier",0,4.608,1.496,1.966,"pizza",6,"pizza",8.02951388888889,"m",68965,1554,37.35576923,3.191730393,0.47,5
"35",3237,"arm","00610","00695547029","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,1.106,1.456,"parece",4,"parece",7.8125,"m",65800,37122,892.3557692,4.569643065,0.35,6
"36",3274,"arm","00610","00695547029","TextGrid",1,"ORT-MAU","IntervalTier",0,4.864,2.666,3.136,"español",10,"español",7.8125,"m",39022,802,19.27884615,2.904715545,0.47,7
"37",3393,"arm","00610","00757881212","TextGrid",1,"ORT-MAU","IntervalTier",0,6.912,1.536,1.766,"poco",4,"poco",10.9953703703704,"m",69345,36391,874.7836538,4.561005924,0.23,4
